Krishna.ACT.Stem.Like,Krishna.ACT.Term.Diff,Li.CD8.DYS,TOX_Scott,Wu.8EFF,Wu.8EM,Wu.8Trm.1,Wu.8Trm.2,Wu.8Trm.3,Wu.8chrom,Wu.8Mit,Wu.8KLRB1,Oh.CD8.CD39,Oh.CD8.Naive,Oh.CD8.HSP,Oh.CD8.MAIT,Oh.CD8.FGFBP2,Oh.CD8.RPL,Oh.CD8.MITO,Oh.CD8.XCL,Oh.CD8.CM,Oh.CD8.PRO,Mel_Exhaust_Tirosh,CD8_G_Feldman,CD8_B_Feldman,Exhaust_1_Feldman,Exhaust_2_Feldman,Exhaust_3_Feldman,Mem_Eff_4_Feldman,Early.Act_5_Feldman,Mem_Eff_6_Feldman,LCMV_PROG.EX_Miller,LCMV_TERMN.EX_Miller,B16_PROG.EX_Miller,B16_TERMINAL.EX_Miller,Wu.CD4.Trm,Wu.CD4.RPL32,Wu.CD4.TCF7,Wu.CD4.FOS,Wu.CD4.IL6ST,Wu.Treg.1,Wu.Treg.2,CD3.MT,Oh.CD4.CM,Oh.CD4IL2RAHI,Oh.CD4IL2RALO,Oh.CD4.Activate,Oh.CD4.GZMB,Oh.CD4.GZMK,Oh.CD4.TH17,Oh.CD4.CXCL13,Oh.CD4.MITO,Oh.CD4.HSP,Oh.CD4.PROLIF,Oh.TIL_CD4IL2RAHI,Oh.TIL_CD4IL2RALO,Oh.TIL_CD4.GZMB,Oh.TIL_CD4.GZMK,Oliveira.TEM,Oliveira.TAct,Oliveira.TPE,Oliveira.TProl,Oliveira.TTE,Oliveira.Tumor-spec TTE,Oliveira.Tumor spec-TAct,Oliveira.Tumor spec-TPE,Oliveira.Tumor-spec TProl,Oliveira.Tumor-spec TEM,Yost_Naive,Yost_CD8_Memory,Yost_CD8 Eff mem,Yost_CD8 Activated,Yost_CD8 Act/Exh,Yost_CD8 Exh,Jansen_Stem like,Jansen_Term diff,Caushi.CD8-TRM(1),Caushi.CD8-Effector(1),Caushi.CD4-Th(1),Caushi.CD8-Effector(2),Caushi.CD4-Th(2),Caushi.CD4-Treg,Caushi.MAIT,Caushi.CD4-Tfh(1),Caushi.Stem-like memory,Caushi.CD8-TRM(2),Caushi.CD4-Tfh(2),Caushi.CD8-Effector(3),Caushi.CD4-Th(3),Caushi.CD8-MHCII,Caushi.CD8-Proliferating,Caushi.CD4CD8(I),Caushi.CD4CD8(II),Caushi.CD8.Effector(I),Caushi.CD8.Effector(II),Caushi.CD8.Effector(III),Caushi.CD8.TRM(I),Caushi.CD8.TRM(II),Caushi.CD8.TRM(III),Caushi.CD8.TRM(IV),Caushi.CD8.TRM(V),Caushi.CD8.TRM(VI),Caushi.CD8.CD4CD8(I),Caushi.CD8.CD4CD8(II),Caushi.CD8.Stem-like memory,Caushi.CD8.MAIT,Caushi.CD8.Proliferating
CD55,TUBB,SNAP47,FAM20A,,,,,,,,,CHN1,LDHA,HSPH1,TPT1,DSTN,,,,BAZ1A,ASPM,RNF19A,USP36,ENTPD1,MELK,GOLIM4,GBP5,GLUL,RGPD6,TXNIP,WNT1,CHN2,SYNPO,LRRN4,,,,,,,,,AAED1,CRADD,ICA1,LMNA,CXCL13,TRAT1,MGAT4A,CYSLTR1,,ID3,CENPF,TPI1,TIGIT,HSP90AB1,HSPD1,SATB1,HSPA1A,RGS2,DHFR,VCAM1,MS4A6A,PLPP1,TOX2,FXYD2,PLPP1,SNX9,ENC1,LPCAT1,TSC22D3,CCL4,CTSW,TGFBI,HMOX1,YBX3,AOAH,CD69,VCAM1,GLUL,ICOS,MYBL1,CCR7,TRABD2A,LINC01871,ICOS,FCGR3A,DSE,TCF4,HLA-DPA1,ICOS,SAMHD1,CD5,LYST,SORL1,AUTS2,LINC02446,ITGAE,GIMAP7,HLA-DRA,ATP8B4,ICOS,SAMHD1,CMSS1,GCHFR,UBE2C
BIN1,CLSPN,ENTPD1,ZDHHC2,,,,,,,,,SNAP47,OAZ1,HSP90AB1,FKBP11,ITGB1,,,,DUSP2,ORC6,IFI16,TC2N,EPSTI1,ANLN,PHLDA1,GBP1,KIAA1683,CTLA4,GIMAP2,SHANK1,5031414D18RIK,SOSTDC1,HAVCR2,,,,,,,,,SNAPC1,PTPLA,ID3,IER2,DAPK2,CLDND1,ADA,BTLA,,CLK1,UBE2T,CD3D,SH3BGRL3,ACTG1,MALAT1,LINC02446,EIF4A2,DRAIC,RAD51AP1,SYNGR2,TOX2,LMCD1,CSF1,PLPP1,LMCD1,SLC16A3,GGA2,SLA2,TNFSF9,RBPJ,KIR2DL4,TPRG1,BARX2,PRF1,CD74,CCR7,SH2D1A,HOPX,UGP2,TTC39C-AS1,GPR183,SATB1,CD7,RBPJ,ENC1,MAST4,BANK1,HLA-DPB1,TSHZ2,CCR6,SDCBP,GZMH,PLEKHF1,GFPT2,ADGRG1,LGALS1,LINC00649,FTL,KIR2DL4,TSHZ2,CCR6,YES1,IFNGR1,KNL1
ISG20,IFI27,PHLDA1,UBASH3B,,,,,,,,,FAM3C,RHOH,KLF6,RPS3A,LGALS1,,,,KTN1,CENPW,LYST,FAM177A1,PDCD1,CDCA8,DNAJA4,PTPN6,RALGAPA1,CREM,TNFAIP8,OAF,VILL,WNT10A,CD244,,,,,,,,,KLF2,CARD16,UGP2,JUNB,C12orf75,TC2N,ARHGAP18,POR,,PPP1R15A,NUSAP1,PFN1,CD3D,TNFRSF18,CD2,DKK3,ID1,CD74,SKA3,NKG7,CSF1,MYL6B,FXYD2,LMCD1,MYL6B,PLIN2,TIGIT,SH2D1B,KLF6,ACP5,GEM,RIMKLB,JAM2,RUNX3,SRSF7,RASGRP2,CD27,GPR25,ARID5B,CA2,ITM2A,ALG13,CD8A,AHI1,TBX21,MT1F,TYROBP,CD74,GNA15,LTB,CRTAM,CD200R1,LITAF,,CXCR6,GZMA,PYHIN1,CDKN2C,SLA2,GNA15,LTB,ACTN1,GPR65,SMC4
RAP2B,HMMR,CD7,SAPCD2,,,,,,,,,PHLDA1,ISG20,TNFSF14,RPLP0,HIST1H1D,,,,ETS1,SGOL1,PRF1,BTG2,TRAFD1,KIAA0101,TGIF1,S100PBP,PRNP,ETS1,IL16,MAGED1,KLRA3,KCNMB1,5830473C10RIK,,,,,,,,,SELL,MAGEH1,DUSP10,ID2,F2R,LITAF,LDLRAD4,SESN1,,CARD16,DTYMK,HSP90AB1,PMAIP1,CKLF,MT-CYB,EPHA4,IFRD1,HSPD1,APOBEC3B,LSP1,GALNT2,LAG3,PLPP1,MYL6B,LAG3,CCR6,AKNA,ABI3,ZC3H12A,TNFRSF9,LAG3,ITGA5,PVR,CCL4,NKG7,PNP,CD8B,TMEM173,SELL,S100A4,ZNF331,ARID5A,MATK,GEM,LYAR,ATP2B1,SPI1,CCL4L2,SAMHD1,TNFRSF9,CYTH3,FABP5,KLF3,,NR3C1,CD8B,RCSD1,XCL1,TGFB1,SAMHD1,TNFRSF9,NELL2,AC245014.3,HIST1H3B
DUSP2,EGR1,AKAP5,SCD2,,,,,,,,,GALNT2,GZMM,DEDD2,RPL22,BIN2,,,,DDX3X,NCAPG,STAT1,TSC22D2,SIRPG,GGH,HAVCR2,IFI35,PRMT10,PNRC1,,MORN4,KLRA7,CD40LG,RASSF6,,,,,,,,,EEF1A1,GCNT1,SAMHD1,BTG2,APOBEC3G,ANXA1,CEBPD,PGM2L1,,RGS2,SMC2,PSMB9,HSP90AB1,TPI1,PNRC1,SAMD3,CCNL1,HSPA6,ESCO2,CCL5,FXYD2,IGFLR1,LMCD1,LAG3,IGFLR1,AQP3,Sep.07,S1PR1,HSPA6,NKG7,GATA3,LRRC2,QPRT,SRRT,HLA-DPB1,S100A11,CD8A,RUNX2,AC017002.3,TMIGD2,CRYBG1,BACH2,PIK3R1,RNF19A,CD8B,CLU,G0S2,GZMK,LEF1,FAS,MARCKSL1,COTL1,TBX21,,ENTPD1,APOBEC3G,NABP1,TSC22D1,PRF1,LEF1,FAS,ZBTB10,SORL1,SLC1A4
SAMD3,KPNA2,IFNG,KIF20B,,,,,,,,,MIR155HG,LITAF,MXD1,AIM1,ITGB2,,,,SKIL,TPX2,UBC,FAM65B,RGS3,AURKB,APLP2,OAS3,SORL1,ZFP36L2,,SCMH1,RANBP17,DTX1,GPR56,,,,,,,,,ARID5A,CD79B,USP15,TNFAIP3,ID2,GIMAP4,ANKRD28,AHI1,,AHSA1,CDKN3,S100A4,CFL1,PKM,MT-CO2,FRMD4B,RSRP1,HSPE1,SHCBP1,RARRES3,PLPP1,CCDC50,MYL6B,IGFLR1,CCDC50,FOXP1,C1orf21,SAMD3,REL,LY6E,LSP1,FAM241A,LHFPL6,FXYD2,RGCC,SAMSN1,FABP5,GADD45G,LTB,GPR183,CD4,PABPC1,NCR3,TMEM173,KLRF1,LINC01943,AIF1,ACTB,TIAM1,PLIN2,NR4A3,SLA2,FLNA,,NAB1,CYTOR,JAML,EDARADD,GNLY,TIAM1,PLIN2,SC5D,MPZL3,HLA-DRB5
S1PR4,TPX2,FAM3C,CCR5,,,,,,,,,FKBP1A,ARID5A,CD69,RPL5,MYL12A,,,,PABPC1,CKAP2L,CD74,STAT4,UBE2F,ASF1B,GPR56,SNAP47,FAM177A1,RGPD5,,NSG2,S1PR5,DHRS3,GZMB,,,,,,,,,RPS12,CD27,CD74,ZFP36,PTMS,IFNGR1,ZEB2,TOX,,UBB,TMEM106C,CD7,CTSC,PFN1,SRGN,AOAH,SERTAD1,CD82,ASPM,CD7,LMCD1,CD27,LAG3,CCDC50,CD27,SPOCK2,APMAP,PLAC8,CSRNP1,TSC22D3,NAP1L4,ANXA1,FAM111B,SYTL2,CCL4L2,GLIPR1,DUSP4,CLU,FCMR,NR1D1,CD200,GPCPD1,AC068775.1,FKBP5,LITAF,RUNX2,APOC1,ENC1,CYSLTR1,CD27,LYST,HNRNPLL,PLEK,,SLA2,ITGB1,,DYNLL1,LITAF,CYSLTR1,CD27,ICAM2,LST1,PTTG1
FAIM3,ZWINT,PTMS,ACSL3,,,,,,,,,CARS,LMNA,PPP1R15A,PFKFB3,DIP2A,,,,PDE4B,ASF1B,IL2RG,RGPD5,SNRPD1,CDC20,BPGM,GIMAP4,CHMP1B,ZNF331,,PAQR8,GM4956,SELL,1300014I06RIK,,,,,,,,,LSR,EPHX2,AC017002.1,DNAJA1,SYTL2,CXCR4,CD52,FABP5,,PMAIP1,FEN1,DUSP4,CARD16,HMGB2,RNF125,S1PR1,DEDD2,TOX,CDC20,CTSW,MYL6B,KIAA1324,HLA-DRA,CD27,KIAA1324,ABCG1,IL16,ABLIM1,UBC,PTMS,PDE7B,TCF7,TICRR,LGALS1,YPEL5,CDC14A,HNRNPLL,FRMD4B,GBP5,LINC01871,IGFBP4,NELL2,KIR3DL2,ITM2A,AOAH,TIMP1,PHACTR1,HIST1H2AH,SERINC5,SESN3,RASA3,ITM2A,S1PR5,,JAML,LAG3,,LYST,HOPX,SERINC5,SESN3,GPCPD1,IL18RAP,C4orf46
GIMAP4,TK1,,WEE1,,,,,,,,,IGFLR1,ZNF331,ANKRD37,GLTSCR2,PTPRE,,,,TMEM66,CKS1B,FYN,NEU1,FIBP,NCAPG,SEC14L1,PARP9,ZC3H12A,CNOT6L,,KIT,TYROBP,ST8SIA1,FILIP1,,,,,,,,,TCF7,SYNGR2,ISG15,MYLIP,CEBPD,GZMB,ARL3,LRMP,,HSPA8,TUBB,LGALS1,HSPB1,CYTIP,SRSF2,HLA-DQA2,KLF10,CD200,ASF1B,MTSS1,LAG3,CDKN2A,IGFLR1,KIAA1324,CDKN2A,,HSPE1,PROK2,PIM1,EVL,SQLE,GPR183,NUDT10,AOAH,HLA-DRB1,GATA3,APOBEC3G,ADAM19,CCR4,PNP,TCF7,TAF4B,KRT81,CORO1B,TYROBP,MIR155HG,CCL3,CCL3L1,FAS,PMCH,HNRNPLL,CD27,PRF1,,SLC7A5,MIR155HG,,CD27,GZMB,FAS,PMCH,FAM177A1,ODF2L,GZMA
TRADD,CD38,,HMMR,,,,,,,,,AMICA1,HLA-DQB1,HSPD1,RGCC,CD52,,,,GPR183,CDKN3,PTPN6,IFRD1,CLTA,DHFR,TNIP3,IFNG,TSC22D2,TGIF1,,BC048355,HEYL,TNFRSF13B,CDKN2A,,,,,,,,,GLTSCR2,HLF,WDR74,BRD2,PDCD1,PRF1,CCNG2,TSHZ2,,DOK2,MAD2L1,ENO1,HERPUD1,HSPE1,RPL13A,GPR171,AL118516.1,HLA-DPB1,CDC45,PTMS,IGFLR1,CD70,CCDC50,CDKN2A,CD70,,,TFDP2,EGR1,ITM2A,CARD16,SPEF2,KIF14,GFPT2,RGPD2,SORL1,CLDND1,,ZC3H12D,SESN1,SESN1,FCMR,SYTL2,TNFSF8,PRSS23,CTSC,BASP1,ASPM,SCML1,RGS1,KLF3,HMGB2,S100A4,,ITGB1,TXN,,HLA-DRB1,FAM177A1,SCML1,RGS1,TCF7,IL18R1,CENPF
