Krishna.ACT.Stem.Like,Krishna.ACT.Term.Diff,Li.CD8.DYS,TOX_Scott,Wu.8EFF,Wu.8EM,Wu.8Trm.1,Wu.8Trm.2,Wu.8Trm.3,Wu.8chrom,Wu.8Mit,Wu.8KLRB1,Oh.CD8.CD39,Oh.CD8.Naive,Oh.CD8.HSP,Oh.CD8.MAIT,Oh.CD8.FGFBP2,Oh.CD8.RPL,Oh.CD8.MITO,Oh.CD8.XCL,Oh.CD8.CM,Oh.CD8.PRO,Mel_Exhaust_Tirosh,CD8_G_Feldman,CD8_B_Feldman,Exhaust_1_Feldman,Exhaust_2_Feldman,Exhaust_3_Feldman,Mem_Eff_4_Feldman,Early.Act_5_Feldman,Mem_Eff_6_Feldman,LCMV_PROG.EX_Miller,LCMV_TERMN.EX_Miller,B16_PROG.EX_Miller,B16_TERMINAL.EX_Miller,Wu.CD4.Trm,Wu.CD4.RPL32,Wu.CD4.TCF7,Wu.CD4.FOS,Wu.CD4.IL6ST,Wu.Treg.1,Wu.Treg.2,CD3.MT,Oh.CD4.CM,Oh.CD4IL2RAHI,Oh.CD4IL2RALO,Oh.CD4.Activate,Oh.CD4.GZMB,Oh.CD4.GZMK,Oh.CD4.TH17,Oh.CD4.CXCL13,Oh.CD4.MITO,Oh.CD4.HSP,Oh.CD4.PROLIF,Oh.TIL_CD4IL2RAHI,Oh.TIL_CD4IL2RALO,Oh.TIL_CD4.GZMB,Oh.TIL_CD4.GZMK,Oliveira.TEM,Oliveira.TAct,Oliveira.TPE,Oliveira.TProl,Oliveira.TTE,Oliveira.Tumor-spec TTE,Oliveira.Tumor spec-TAct,Oliveira.Tumor spec-TPE,Oliveira.Tumor-spec TProl,Oliveira.Tumor-spec TEM,Yost_Naive,Yost_CD8_Memory,Yost_CD8 Eff mem,Yost_CD8 Activated,Yost_CD8 Act/Exh,Yost_CD8 Exh,Jansen_Stem like,Jansen_Term diff,Caushi.CD8-TRM(1),Caushi.CD8-Effector(1),Caushi.CD4-Th(1),Caushi.CD8-Effector(2),Caushi.CD4-Th(2),Caushi.CD4-Treg,Caushi.MAIT,Caushi.CD4-Tfh(1),Caushi.Stem-like memory,Caushi.CD8-TRM(2),Caushi.CD4-Tfh(2),Caushi.CD8-Effector(3),Caushi.CD4-Th(3),Caushi.CD8-MHCII,Caushi.CD8-Proliferating,Caushi.CD4CD8(I),Caushi.CD4CD8(II),Caushi.CD8.Effector(I),Caushi.CD8.Effector(II),Caushi.CD8.Effector(III),Caushi.CD8.TRM(I),Caushi.CD8.TRM(II),Caushi.CD8.TRM(III),Caushi.CD8.TRM(IV),Caushi.CD8.TRM(V),Caushi.CD8.TRM(VI),Caushi.CD8.CD4CD8(I),Caushi.CD8.CD4CD8(II),Caushi.CD8.Stem-like memory,Caushi.CD8.MAIT,Caushi.CD8.Proliferating
TNFAIP3,UBE2T,,SH2D5,,,,,,,,,SIRPG,CCSER2,RHOB,SPOCK2,MYO1F,,,,MCL1,HIST1H2AJ,HLA-DRB1,PDE4B,CXCL13,KIFC1,METRNL,SIT1,P2RY8,CXCL13,,4930583H14RIK,TIFAB,CXXC5,GPR97,,,,,,,,,TMEM66,LTA,FRMD4B,ZFP36L2,ANKRD32,CLEC2B,C1GALT1,TNFSF8,,TIFA,CENPK,PPP1CA,TMSB10,CFL1,TMEM66,ITGA5,KLF2,NR4A2,PCLAF,BATF,CCDC50,ABHD6,CD27,CD70,ABHD6,,,SASH3,BTG2,PTTG1,SYNGR2,TGFBR3,SMIM24,MATK,TC2N,TLE4,SRRT,,CD27,SYTL2,TNFRSF4,ARRDC2,ITGAE,PKM,PIK3R1,MSC,SERPINA1,HIST1H1E,SESN1,NMB,RILPL2,LAG3,SYNE1,,LDLRAD4,MT1G,,CD74,TBX21,SESN1,NMB,SATB1,SNX9,FABP5
CTD-3184A7.4,NUSAP1,,MYO1E,,,,,,,,,CD63,LEPROTL1,CHORDC1,RPL10,SSBP4,,,,MT-ND2,CDK1,HNRNPC,NR4A1,NMI,TYMS,HSPH1,PYCARD,NEU1,PDE4D,,TWIST2,KLRA9,PLA2G4F,AA467197,,,,,,,,,PTGER4,ACP5,GLRX,DNAJB4,CD63,FOSB,SMCO4,ICA1,,CCT4,NUDT1,DNPH1,LINC00152,MYL6,IL7R,TRMO,ZFAND2A,VCAM1,SKA1,KIR2DL4,CD27,CTLA4,KIAA1324,ABHD6,CTLA4,,,LDHA,NFKBIZ,IFNG,CD7,CAMK4,CAV1,TSC22D3,TRAT1,RCSD1,DTHD1,,ICA1,CXCR6,MAF,C1orf162,KIR2DL1,TOX,GZMA,GPR25,ADAM28,ITM2C,TRABD2A,SNX9,EOMES,TRAT1,SAMD3,,HLA-DQB1,ITM2C,,TAGAP,DDIT4,TRABD2A,SNX9,YBX3,ERN1,HLA-DPB1
LTB,PCNA,,CENPF,,,,,,,,,ALOX5AP,SLBP,NEU1,RPS12,CTSW,,,,TSPYL2,UBE2T,UBB,,DNPH1,CKAP2L,KLRC2,RGS3,TCF7,RNF19A,,SLC12A8,AGPAT9,XCL1,ADAM8,,,,,,,,,RASGRP2,PTP4A3,GBP2,KLF2,SLA2,C12orf75,COMMD8,CD40LG,,KLF6,MCM3,ALDOA,HSPE1,RGS2,RPL36A,ANTXR2,H2AFX,BEX3,HIST1H3G,AKAP5,KIAA1324,PDCD1,CDKN2A,CTLA4,PDCD1,,,C12orf75,ACTB,BTG3,HLA-DQA1,JAML,MND1,PTGER2,LDHA,AHNAK,TNFRSF9,,IL1R1,PRNP,CITED2,FAM177A1,AUTS2,ARID5B,FLNA,,SPIB,HIST1H1C,SRGN,CD2,ENC1,CRTAM,PLAC8,,HLA-DRB5,,,FAM3C,IFITM2,SRGN,CD2,CXCR3,GYG1,AHI1
CCDC109B,CENPF,,HAVCR2,,,,,,,,,CD82,SRSF7,AHSA1,RPL9,AES,,,,YPEL5,HIST1H1B,CD8B,,PCNA,CLSPN,PMAIP1,XAF1,ZNF683,,,HSD3B7,KLRB1C,CD83,CDH17,,,,,,,,,RPL10,TIGIT,SELL,TUBB4B,GDE1,NAA50,CCR6,THADA,,TAGAP,MCM5,ARPC1B,ARL6IP5,PSMB9,RPS3,AIM2,CLK1,AIF1,CDCA3,CD38,CDKN2A,GEM,CD70,PDCD1,GEM,,,GTF3C1,CCL3,TNIP3,ATP8B4,DPP4,TIAM1,RGCC,CD8A,SOCS1,AC243829.4,,GLRX,GNA15,CH25H,ANKRD12,CRTAM,BATF,S1PR1,,C5AR1,DUSP4,IL6ST,GNA15,,CD8B,PRSS23,,AKAP5,,,GEM,SLC7A5,IL6ST,GNA15,JMJD1C,GTF3C1,KIF14
GZMK,H2AFX,,EOMES,,,,,,,,,TIGIT,DNAJB9,RGS2,RPL17,HOPX,,,,GSPT1,CENPU,HAVCR2,,ACP5,MLF1IP,DUSP4,OAS2,MYADM,,,TCF7,ENTPD1,CYR61,FCER1G,,,,,,,,,GPR183,DNPH1,LAIR2,SOCS3,CTSD,RARRES3,PERP,ADPRM,,NUDC,RFC2,MYL12A,MYL12B,SAMSN1,RPL6,IFIT2,RSRC2,DNAJA1,TYMS,RAB27A,CD70,TOX,ABHD6,GEM,TOX,,,GK5,XCL2,GZMA,PRF1,TNFSF14,KIF4A,GPR65,SLC7A5,DDIT4,TRAT1,,CCDC141,TNFAIP8,CXCR5,TXK,VCAM1,FURIN,KLF3,,CYBB,FABP5,ARID5B,LEF1,,PRF1,AC004687.1,,ANKRD28,,,TNFSF4,ANKRD28,ARID5B,LEF1,AP3M2,PIM2,POLR1E
NOSIP,CRTAM,,PAK6,,,,,,,,,AC092580.4,CREM,CITED2,ZFP36L2,IFITM2,,,,MT-ND1,NUSAP1,IRF8,,MRPL28,TROAP,IGFLR1,C5orf56,ATP2B1,,,1700019D03RIK,INSC,KLF3,EPDR1,,,,,,,,,GIMAP7,CTSC,PELI1,NR4A2,ALOX5AP,GZMM,LGALS3,DNAJB14,,DUSP1,PCNA,CALM3,UCP2,EVL,RPL10,TSPAN2,IER3,HSPH1,RAD54L,GZMH,ABHD6,HOPX,CTLA4,NUSAP1,HOPX,,,LAT2,IFRD1,GZMB,SLA2,SESN1,LMCD1,CD69,HLA-DPA1,MID1IP1,KLRG1,,TIAM1,PTPN13,CD28,SORL1,ITGA1,IL6ST,EOMES,,LINC00926,NKG7,S1PR1,FAM174B,,APOBEC3G,UPP1,,POLR1E,,,VSIR,CRIP1,S1PR1,FAM174B,RGCC,SLC7A5,CYTOR
CYTH1,ASPM,,AHR,,,,,,,,,PDCD1,WIPF1,HSPA8,NDFIP1,SELPLG,,,,SELK,CCNB1,LAG3,,FARSA,KIF2C,HSPA1A,GIMAP5,CREM,,,H2-OB,RAB3IL1,S1PR5,CHL1,,,,,,,,,RPS3A,HTATIP2,C16orf80,HSPA1B,CHST12,PIK3R1,S100A4,ID2,,PHLDA1,TUBA1B,ATP5E,UBB,HSPA8,RPS6,,BTG2,DNAJB1,TOP2A,IGFLR1,CTLA4,INPP5F,PDCD1,TOX,INPP5F,,,SPN,KLF10,HLA-DMA,SLC1A4,TMEM71,DEPDC1B,GLUL,NR4A3,TNFAIP8,EOMES,,TNIK,ZBTB16,MAL,AQP3,GABARAPL1,IL10,ADRB2,,CD19,H2AFZ,TXNIP,MAST4,,LMNB1,S1PR1,,TNFRSF9,,,PPP1R2,VPS37B,TXNIP,MAST4,FAM107B,LDHA,HIST1H2AI
SAMHD1,GTSE1,,ARSB,,,,,,,,,HLA-DRA,CALM2,CLK1,RPSA,CD47,,,,RPLP0,GGH,ATP5B,,COX5A,WDR34,ZFAND2A,ABI3,OAT,,,ROPN1L,CHIT1,FAM160A1,IL1R2,,,,,,,,,RPS13,PKM,HLA-DQB1,TSC22D3,BHLHE40,GSTP1,RBPJ,METTL8,,IL32,DUT,CFL1,MYL12A,LAPTM5,RPSAP58,,MYLIP,HIPK2,MELK,ATP8B4,PDCD1,SNAP47,GEM,HOPX,SNAP47,,,KIR3DL1,SNHG15,CD27,GOLIM4,SLAMF1,HAVCR1,GZMH,CEMIP2,INPP4B,LAG3,,RBKS,ABCB1,CORO1B,ADTRP,GLUL,GADD45G,LINC00861,,THBS1,SRRT,SC5D,SESN1,,ENC1,TYROBP,,CYTOR,,,HLA-DPB1,IKZF2,SC5D,SESN1,PRNP,LINC01871,NAB1
PHACTR2,TNFRSF18,,KLRK1,,,,,,,,,CKLF,RNF19A,TUBA1A,GCHFR,SAMD3,,,,EIF4G2,TUBB,STAT3,,MRPL51,CDK1,NDFIP2,SNX20,NFE2L2,,,XCL1,GLP1R,SH2B3,CCL3,,,,,,,,,RPL3,SAT1,GBP5,TUBA1B,CST7,HLA-DPB1,FKBP11,NAP1L4,,TIGIT,EZH2,SAT1,ARPC1B,LSP1,CREM,,MAFF,LHFPL6,CENPW,CD63,GEM,TSHZ2,TOX,INPP5F,TSHZ2,,,PRR5L,IER3,RHOB,IGFLR1,MYBL1,POLQ,SLC7A5,RNF19A,SCML4,AOAH,,LAIR2,CCNH,WDR74,FXYD7,HPGD,ICA1,HLA-DPB1,,RUBCNL,HIST1H1D,CD28,LGMN,,,ADRB2,,ZEB2,,,HMGB2,PDE4A,CD28,LGMN,SLC2A3,TGFB1,FAM3C
PPP2R5C,MYBL2,,IL10,,,,,,,,,NAB1,CD27,TAGAP,ARL4A,EMP3,,,,TGFB1,CENPF,IGFLR1,,SNRPE,KIF23,PAM,VAMP5,DNAJB9,,,CD22,HDHD3,TESPA1,SPP1,,,,,,,,,RNF125,BATF,CAST,C1orf63,LMO4,SYTL3,GPR65,SGK1,,PTGES3,HIST1H4C,LTB,PSMB9,SOD1,NBEAL1,,CSRNP1,HLA-DMA,MCM10,HOPX,TOX,HLA-DMA,NMB,SNAP47,HLA-DMA,,,AOAH,CKS2,CARD16,CSGALNACT1,STAT4,CTTN,ADGRE5,KLRG1,,TOX,,SAMSN1,TNFSF13B,DDIT4,CD28,SLC7A5,CXCR6,KLRC3,,RNASE1,IFNG,ICAM2,TSPAN13,,,ENC1,,SNX9,,,SRSF7,ZEB2,ICAM2,TSPAN13,ELL2,SYTL2,YWHAH
CDC42SE1,CKS1B,,CKAP5,,,,,,,,,RP11-291B21.2,DUSP4,MIR24-2,RPS5,PFN1,,,,CD55,MAD2L1,MGEA5,,RANBP1,PLK1,TP53INP1,IRF2,SKIL,,,FCRL1,ATG9B,LRIG1,ACOXL,,,,,,,,,SLC2A3,OTUD5,CMTM7,NFKBIZ,CD52,NR4A2,ANXA5,GPR171,,TXNIP,DEK,PKM,SRP14,UBC,RPL23A,,ID2,GK,HIST1H3B,TNFRSF18,CXCR6,SIT1,HOPX,TSHZ2,SIT1,,,KLRF1,BTG3,SNAP47,HLA-DRB1,EGR1,ABHD17C,LGALS3,CD27,,LITAF,,CXCR6,TLE1,PGAP1,P2RY8,ABCB1,CREM,CCL3L1,,KYNU,MIR155HG,GPR171,CH25H,,,ADGRG1,,CHN1,,,TNFRSF9,TYROBP,GPR171,CH25H,TESPA1,PRNP,KIF20B
LGALS3,SPC25,,ALYREF,,,,,,,,,RGS1,CALM1,DDIT3,VIM,RNF125,,,,EIF4A3,SMC2,HSPA1B,,NOP10,TOP2A,AHI1,UBASH3A,DENND4A,,,TNP2,ARAP3,IL18,ENTPD1,,,,,,,,,RPL9,ADAT2,TNFRSF4,PTGER4,OASL,SH2D1A,RBMS1,RBPJ,,SOD1,SAE1,H3F3B,DNAJA1,TIGIT,RPL30,,ZC3H12A,TSHZ2,HIST1H2AH,ADGRG1,HOPX,PYCARD,INPP5F,HLA-DMA,PYCARD,,,EFHD2,RHOB,CRTAM,CD9,SORL1,PLK4,ITM2C,FAM177A1,,PECAM1,,LINC02099,IL23R,GPCPD1,CRYBG1,KIR2DL3,FAM174B,XCL2,,EREG,HLA-DQB1,GATA3,TP53INP1,,,,,VCAM1,,,CLEC2B,PIK3AP1,GATA3,TP53INP1,TNFAIP8,ZBTB16,MIR4435-2HG
SPOCK2,CDKN3,,GEN1,,,,,,,,,LSP1,TERF2IP,CCL3,SOCS1,TMSB10,,,,PIK3R1,PRC1,COTL1,,PYCARD,NUF2,UBE2F,PARP10,SERTAD1,,,MMP10,TRPC1,NSG2,CALCA,,,,,,,,,RPS5,OAS1,RHBDD2,CCNL1,CD99,GIMAP7,GNLY,ALOX5AP,,S100A4,HMGB2,HLA-B,HLA-DRB1,CAPZB,RPL26,,BAG3,LPL,CENPU,PLPP1,CLIC3,ADGRG1,SNAP47,SIT1,ADGRG1,,,UBE2F,PNRC1,TOX,SNX9,LY9,XXYLT1-AS2,PTGER4,FABP5,,CLEC2B,,CD28,PABPC1,TBC1D4,TNFSF8,ZEB2,SMC4,SLA2,,VCAN,LYST,AP3M2,CPM,,,,,MIR155HG,,,BPGM,NCR3,AP3M2,CPM,TAF4B,AC020916.1,HIST1H1C
TSC22D3,IFNG,,IL24,,,,,,,,,LAG3,SBDS,SERTAD1,FAM177A1,ATP2B1,,,,RSL1D1,CLSPN,VCAM1,,GTF3C6,HMGB3,HSPA4,GIMAP7,YPEL5,,,FAM190A,FAM19A3,SSPO,CTNND2,,,,,,,,,RPL21,CTLA4,ISG20,ZFP36L1,SH3BGRL3,CD69,TSEN54,IFNG,,LTB,STRA13,VAMP8,CLIC1,ARPC3,RPS21,,SNHG12,C16orf45,CDCA8,MCM5,INPP5F,PTMS,TSHZ2,TUBB,PTMS,,,FTL,PER1,CHST12,SYTL2,ADRB2,ARMC9,GNLY,ATP1B3,,ITM2C,,CTSC,S100A6,ARMH1,BEX2,GPR65,ZEB2,SRRT,,TREM1,CCL4,TESPA1,CTNNAL1,,,,,MYO1E,,,GBP5,,TESPA1,CTNNAL1,TXK,FAM177A1,RBPJ
YWHAQ,AURKA,,ECT2,,,,,,,,,KLRC1,RPL27A,CDC42EP3,RPL7,CALM1,,,,IDI1,RNASEH2A,HLA-DMA,,CCR5,ASPM,ICOS,GBP4,BCL6,,,LTA,SERPINB1A,TBC1D4,NEB,,,,,,,,,MBP,GLRX,MRPL1,DDX3X,LGALS1,HCST,GYG1,RGS2,,UBC,NME1,SRP14,SERF2,S100A11,PABPC1,,TNF,ZFAND2A,CDK1,CSF1,SNAP47,HIPK2,HLA-DMA,PYCARD,HIPK2,,,UPP1,HNRNPDL,COTL1,CTSD,CD83,C17orf53,IFNG,ZNF331,,PYHIN1,,LEF1,HPGD,GEM,PGAP1,CST7,TBC1D4,IFNG,,FN1,HLA-DQA1,GPR183,FCMR,,,,,NBL1,,,CRTAM,,GPR183,FCMR,PLAC8,RELB,HLA-DQB1
GIMAP1,FEN1,,MKI67,,,,,,,,,HLA-DQA1,FAM177A1,GADD45B,STAT4,CLIC3,,,,RPS12,CENPE,PDE7B,,GSTO1,MCM2,CHORDC1,PVRIG,EGR1,,,DYNC2LI1,QSER1,SH3BP5,LY6G5B,,,,,,,,,GIMAP5,MIR4435-1HG,HLA-DRB1,FUS,MYO1F,KPNA2,TMEM167A,NPDC1,,DYNLL1,HLA-DRA,PRR13,MIR4435-1HG,ARPC2,RPL5,,DDIT4,CD80,CENPA,TNFSF10,TSHZ2,LSP1,SIT1,ADGRG1,LSP1,,,SLC9A3R1,IFITM3,CD70,NELL2,SCML4,VCAM1,CAPG,EPHA4,,SAMD3,,SETD7,LTK,INPP4B,PTGER4,GPR15,AC017002.3,YBX3,,MS4A7,SH2D1A,SLC2A3,MAF,,,,,GPR25,,,MIR155HG,,SLC2A3,MAF,RASA3,SLC4A10,ASPM
DSTN,GINS2,,GTF2IRD1,,,,,,,,,CAPG,LYAR,ABHD3,RPL10A,BHLHE40,,,,RSL24D1,MCM7,TBC1D4,,OAS3,ORC6,TRPS1,CYTH4,PDE4B,,,DPYSL5,WDR31,P2RX7,UPP1,,,,,,,,,CCDC109B,LTB,RPS27L,SOCS1,CXCR6,HLA-DPA1,RORA,FBXO32,,SAT1,DNAJC9,GBP2,HLA-DPB1,DNPH1,RPS12,,SGK1,ETV1,ANLN,SNAP47,HLA-DMA,FAM3C,HLA-DRB1,PTMS,FAM3C,,,GNPTAB,SKAP1,ITGAE,PDE3B,ABCB1,PAX9,SLA2,APOBEC3G,,GIMAP4,,BEX3,SNX9,ALG13,MAML2,NKG7,SERINC5,LGALS1,,RNF130,CCL5,ANKRD12,CD4,,,,,HAVCR2,,,IL2,,ANKRD12,CD4,FOXP1,IL27RA,HLA-DQA1
C16orf54,,,GZMA,,,,,,,,,LGALS3,COTL1,BTG2,RPL3,LYAR,,,,SLC7A5,FBXO5,SNAP47,,IGFLR1,CASC5,TBC1D4,DTX3L,ANXA1,,,AICDA,RIPPLY3,TNP2,AOAH,,,,,,,,,RPL30,TBC1D4,UBE2B,CXCR4,MAP3K8,YPEL5,LPIN2,TGIF1,,MALAT1,CBX5,CKLF,HSPD1,ENO1,RPS3A,,SNHG15,NMB,DIAPH3,LINC01871,SIT1,SLC1A4,PYCARD,CKS1B,SLC1A4,,,ABHD17A,TUBB2A,ITGB2,RALA,PRNP,SKA3,ABCB1,SAMD3,,MIR155HG,,TRAC,ARL4A,SELL,BEX3,GZMH,SRGN,HOPX,,RASGEF1B,HIST1H3B,FAM107B,IL6ST,,,,,KLRD1,,,GZMH,,FAM107B,IL6ST,ABLIM1,DSE,GZMB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNAJB4,DEDD2,CDCA2,MYO1E,PYCARD,NUDT1,ADGRG1,HIPK2,NUDT1,,,IRF1,SAT1,CTSD,BATF,GLIPR1,PBK,XCL2,TSPYL2,,PIK3R1,,ENTPD1,GLIPR1,LEF1,PCSK1N,METRNL,MFHAS1,RUNX3,,BLK,CDKN2C,RORA,IPCEF1,,,,,RUNX2,,,LRRN3,,RORA,IPCEF1,SDCBP,S100A11,H1FX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR4A3,CMC1,NCAPG,ZBED2,ADGRG1,DNPH1,HLA-DQA1,LSP1,DNPH1,,,AGPAT4,CD52,CD82,PPM1G,KCNA3,SESTD1,GALNT2,PECAM1,,PLEK,,MAST4,AHNAK,CPM,INPP4B,ADGRE5,CYTOR,TNFSF9,,FTL,CENPE,SOCS1,IKZF2,,,,,SYTL2,,,KCNK5,,SOCS1,IKZF2,TLE4,MYBL1,RGS1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFKBID,PON2,GINS2,AHI1,PRF1,HSPA6,HLA-DPA1,FAM3C,IL7R,,,PRSS23,DDIT4,CLEC2B,AKAP5,MPZL3,CD200,,RGS1,,FASLG,,CORO1B,NFKB1,IL6R,AC119396.1,IKZF2,NMB,SLAMF7,,C1orf162,HIST1H2AM,LTB,NABP1,,,,,MAST4,,,HAVCR2,,LTB,NABP1,ANKRD12,AHNAK,HIST1H3H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCML1,SEMA4A,SGO1,ABI3,PTMS,HSPA1B,PTMS,SLC1A4,GPR183,,,AKNA,SLC38A2,NAMPT,CHST12,,GRK3,,CLEC2B,,RUNX3,,TRAF1,FURIN,SOCS1,CXCR5,RGCC,ZBED2,APOBEC3G,,ARHGAP24,CYTOR,DDIT4,PRDM1,,,,,CARS,,,DUSP4,,DDIT4,PRDM1,ALG13,EMP3,LMNB1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RASD1,ENC1,MAD2L1,FASLG,HIPK2,HSPA1A,HIPK2,NUDT1,LMNA,,,SORL1,TUBB,PIM3,RGS2,,PRRG4,,EOMES,,MCOLN2,,SLAMF1,YWHAH,PTGER4,LINC00402,AKAP5,PLIN2,ARRDC3,,MIR155HG,HIST1H3F,MAL,JMY,,,,,LAYN,,,CDC42EP3,,MAL,JMY,EMP3,LGALS3,MXD3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATF4,CDKN2C,GGH,TYMP,CHST12,DNAJB1,LSP1,DNPH1,ANXA1,,,MGAT1,PPP1R18,SIRPG,SEC14L1,,RAB38,,KLF3,,SLF1,,WDR74,LGALS3,AHI1,CCR4,SPRY2,BCL2L11,PTGER2,,TIMP1,HIST1H2AG,RILPL2,TTN,,,,,ACP5,,,TXNIP,,RILPL2,TTN,FCMR,TC2N,PDCD1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AREG,GRAMD1A,CKAP2L,ZBTB38,LSP1,CCL4,FAM3C,STMN1,VIM,,,OSTF1,EVL,NDFIP2,GPR65,,VANGL1,,CXCR3,,EDARADD,,SNX9,MCAM,AP3M2,IL6R,CD8B,ALOX5AP,MCOLN2,,IRF8,CD70,RNF19A,ZNF831,,,,,BCL2L11,,,RASL11A,,RNF19A,ZNF831,SAMHD1,SATB1,HIST1H4H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RASGEF1B,MYL6B,KIF11,CTSB,FAM3C,CCL4L2,SLC1A4,HIST1H4C,FTH1,,,SH2D2A,CLIC1,MTHFD2,ID2,,FAM72B,,CD8B,,LYAR,,TMEM173,AC020916.1,ICOS,ZBTB10,WHRN,LINC01943,P2RY8,,IGHV1-69D,CRIP1,SH3TC1,IL18R1,,,,,SPRY1,,,NKRF,,SH3TC1,IL18R1,PTGER2,KMT2E-AS1,CDKN2A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC020916.1,BCAT1,CLSPN,PLSCR1,SLC1A4,BAG3,NUDT1,TUBA1B,MBP,,,RASA3,ZNF683,ICOS,SLC2A8,,DPF3,,VPS37B,,TTN,,CCNG2,ANKRD28,SATB1,ITGA6,VPS37B,CITED2,IFNGR1,,RALGPS2,MSC,CXCL13,TSC22D3,,,,,,,,PTTG1,,CXCL13,TSC22D3,LITAF,PNP,ITGAE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDIT3,ARMH1,KNL1,NAP1L4,NUDT1,DUSP1,DNPH1,MKI67,CD55,,,SLC43A2,CCND3,SEC14L1,CARS,,KIF7,,METRNL,,SLAMF7,,FAM184A,GYG1,LHFPL6,ARMH1,GYG1,TP53INP1,AL118516.1,,POU2F2,PKM,,ICAM2,,,,,,,,LGALS1,,,ICAM2,SORL1,GFPT2,HIST1H2BH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNHG8,TIAM1,FOXM1,AFAP1L2,DNPH1,FOS,CCR7,HMGN2,TGFB1,,,LITAF,LTB,CTSC,CTLA4,,ETV1,,P2RY8,,CEMIP2,,CYTOR,IL22,ZCCHC12,RILPL2,IFITM2,CD7,TUBB4A,,LGALS1,APOBEC3G,,LINC02099,,,,,,,,ARRDC3,,,LINC02099,TNFSF8,CA2,CENPE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CITED2,PIKFYVE,ORC6,ITGAE,GNLY,SERPINH1,XCL1,UBE2C,CCR7,,,RASSF5,CD48,APOBEC3C,CD3D,,HAVCR2,,TNFRSF9,,BICDL1,,S100A4,DSE,PDE7B,FOXP1,LGALS1,HAVCR2,GABARAPL1,,CAPG,PRRG4,,CD28,,,,,,,,ULBP2,,,CD28,MAL,NCR3,HLA-DPA1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXNIP,MRPL18,TUBB,TNS3,SLA2,NR4A2,XCL2,HIST1H1B,S100A10,,,TGFB1,CCNH,CD38,CD63,,AFAP1L2,,IFNGR1,,TIGIT,,PMCH,IL18RAP,ARID5A,TESPA1,TBX21,CADM1,PYHIN1,,CD70,KIF14,,PIM2,,,,,,,,CGAS,,,PIM2,NSG1,TMIGD2,CD8B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOB1,INPP5F,TCF19,DUSP16,CD7,IFNG,CRTAM,CENPF,KLRB1,,,AUTS2,GSTK1,NFKBIZ,GRAMD1A,,C16orf45,,YBX3,,PRF1,,SESN3,SVIL,ARID5B,YPEL5,TLE1,G0S2,CD300A,,LY86,MIR4435-2HG,,LAIR2,,,,,,,,HLA-DQB1,,,LAIR2,APBA2,SESN1,ITGA1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIM2,LMCD1,CDC6,CASP1,ISG15,NFKBIA,LANCL2,HIST1H1E,MARCKSL1,,,SYNE1,ACTG1,SYNGR2,ASB2,,VSIG10,,ZEB2,,CD200R1,,ADTRP,NINJ1,RILPL2,LPAR6,CD160,RDH10,PTGDR,,RILPL2,KIF20B,,BCL2L11,,,,,,,,ICOS,,,BCL2L11,RIPOR2,HPGD,SLF1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOCS3,SESN3,NCAPG2,CARS,ISG20,ZFAND2A,DUT,HMGB1,ANXA2,,,S1PR4,NEAT1,TANK,MAST4,,PTMS,,AUTS2,,SRSF7,,ANKRD12,KDSR,YPEL5,CMSS1,CAPG,KIAA0319L,FCRL6,,S100A11,LAG3,,FOXP1,,,,,,,,SDCBP,,,FOXP1,ITGA6,,DUSP4
